"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 17, 2018","94.00","94.00","94.00","94.00","0.01K","-0.37%"
"Apr 18, 2018","94.25","94.25","94.25","94.25","0.01K","0.27%"
"Apr 19, 2018","94.50","94.50","94.50","94.50","-","0.27%"
"Apr 20, 2018","94.40","94.40","94.40","94.40","-","-0.11%"
"Apr 23, 2018","94.30","94.30","94.30","94.30","0.02K","-0.11%"
"Apr 24, 2018","94.20","94.20","94.20","94.20","-","-0.11%"
"Apr 25, 2018","94.30","94.30","94.30","94.30","-","0.11%"
"Apr 26, 2018","94.35","94.35","94.35","94.35","-","0.05%"
"Apr 27, 2018","94.15","94.15","94.15","94.15","-","-0.21%"
"Apr 30, 2018","97.25","97.25","97.25","97.25","0.03K","3.29%"
"May 01, 2018","98.30","98.30","98.30","98.30","0.04K","1.08%"
"May 02, 2018","98.55","98.55","98.55","98.55","-","0.25%"
"May 03, 2018","98.55","98.55","98.55","98.55","-","0.00%"
"May 04, 2018","99.60","99.60","99.60","99.60","-","1.07%"
"May 07, 2018","99.60","99.60","99.60","99.60","-","0.00%"
"May 08, 2018","100.65","100.65","100.65","100.65","0.02K","1.05%"
"May 09, 2018","101.20","101.20","101.20","101.20","0.02K","0.55%"
"May 10, 2018","102.00","102.00","102.00","102.00","0.01K","0.79%"
"May 11, 2018","103.20","103.20","103.20","103.20","0.03K","1.18%"
"May 14, 2018","103.75","103.75","103.75","103.75","-","0.53%"
"May 15, 2018","103.30","103.30","103.30","103.30","0.02K","-0.43%"
"May 16, 2018","103.50","103.50","103.50","103.50","0.01K","0.19%"
"May 17, 2018","103.35","103.35","103.35","103.35","0.01K","-0.14%"
"May 18, 2018","103.15","103.15","103.15","103.15","0.01K","-0.19%"
"May 21, 2018","103.05","103.05","103.05","103.05","-","-0.10%"
"May 22, 2018","103.10","103.10","103.10","103.10","-","0.05%"
"May 23, 2018","103.10","103.10","103.10","103.10","-","0.00%"
"May 24, 2018","103.20","103.20","103.20","103.20","-","0.10%"
"May 25, 2018","102.30","102.30","102.30","102.30","-","-0.87%"
"May 29, 2018","103.05","103.05","103.05","103.05","0.02K","0.73%"
